,document_n,topic
1133,1133,2
1134,1134,1
1135,1135,1
1136,1136,1
1137,1137,1
1138,1138,1
1139,1139,1
1140,1140,1
1141,1141,1
1142,1142,0
1143,1143,1
1144,1144,1
1145,1145,1
1146,1146,1
1147,1147,2
1148,1148,1
1149,1149,2
1150,1150,1
1151,1151,1
1152,1152,1
1153,1153,1
1154,1154,1
1155,1155,1
1156,1156,2
1157,1157,2
1158,1158,1
1159,1159,2
1160,1160,1
1161,1161,1
1162,1162,1
1163,1163,1
1164,1164,1
1165,1165,1
1166,1166,1
1167,1167,1
1168,1168,1
1169,1169,2
1170,1170,1
1171,1171,1
1172,1172,1
1173,1173,2
1174,1174,1
1175,1175,2
1176,1176,1
1177,1177,2
1178,1178,1
1179,1179,1
1180,1180,2
1181,1181,1
1182,1182,1
1183,1183,1
1184,1184,2
1185,1185,1
1186,1186,1
1187,1187,1
1188,1188,1
1189,1189,1
1190,1190,1
1191,1191,1
1192,1192,1
1193,1193,1
1194,1194,1
1195,1195,1
1196,1196,1
1197,1197,0
1198,1198,1
1199,1199,0
1200,1200,1
1201,1201,2
1202,1202,1
1203,1203,2
1204,1204,2
1205,1205,1
1206,1206,1
1207,1207,1
1208,1208,1
1209,1209,2
1210,1210,2
1211,1211,1
1212,1212,1
1213,1213,2
1214,1214,1
1215,1215,2
1216,1216,1
1217,1217,1
1218,1218,1
1219,1219,1
1220,1220,1
1221,1221,1
1222,1222,1
1223,1223,0
1224,1224,1
1225,1225,1
1226,1226,1
1227,1227,1
1228,1228,1
1229,1229,1
1230,1230,1
1231,1231,1
1232,1232,1
1233,1233,2
1234,1234,2
1235,1235,1
1236,1236,1
1237,1237,1
1238,1238,1
1239,1239,1
1240,1240,2
1241,1241,2
1242,1242,0
1243,1243,1
1244,1244,1
1245,1245,1
1246,1246,2
1247,1247,1
1248,1248,2
1249,1249,2
1250,1250,1
1251,1251,1
1252,1252,1
1253,1253,1
1254,1254,1
1255,1255,1
1256,1256,1
1257,1257,1
1258,1258,1
1259,1259,1
1260,1260,1
1261,1261,1
1262,1262,2
1263,1263,1
1264,1264,1
1265,1265,1
1266,1266,1
1267,1267,1
1268,1268,1
1269,1269,1
1270,1270,0
1271,1271,1
1272,1272,1
1273,1273,1
1274,1274,1
1275,1275,1
1276,1276,1
1277,1277,1
1278,1278,1
1279,1279,2
1280,1280,2
1281,1281,1
1282,1282,1
1283,1283,1
1284,1284,1
1285,1285,1
1286,1286,0
1287,1287,1
1288,1288,1
1289,1289,1
1290,1290,2
1291,1291,2
1292,1292,2
1293,1293,2
1294,1294,0
1295,1295,1
1296,1296,2
1297,1297,1
1298,1298,0
1299,1299,0
